"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.155057388E2,6.518794758E1,2.535721426E1,-3.845623751E0,2.819999933E0,3.270000000E2,3.790092468E0,2.500000000E0
1.165052781E2,6.518797000E1,2.535718226E1,-3.683043803E0,2.890000105E0,3.272999878E2,3.790092468E0,2.500000000E0
1.175056077E2,6.518799316E1,2.535714967E1,-3.293169417E0,2.849999905E0,3.293999939E2,3.790092468E0,2.500000000E0
1.185052751E2,6.518801726E1,2.535711755E1,-3.114538052E0,2.890000105E0,3.287999878E2,3.790092468E0,2.500000000E0
1.195055207E2,6.518804180E1,2.535708334E1,-3.425287241E0,2.960000038E0,3.286000061E2,3.790092468E0,2.500000000E0
1.205059464E2,6.518806653E1,2.535704898E1,-3.144239679E0,3.009999990E0,3.280000000E2,3.790092468E0,2.500000000E0
1.215053812E2,6.518809144E1,2.535701594E1,-3.055879902E0,3.000000000E0,3.300000000E2,3.790092468E0,2.500000000E0
1.225058291E2,6.518811575E1,2.535698543E1,-2.573964596E0,2.960000038E0,3.297999878E2,3.790092468E0,2.500000000E0
1.235052739E2,6.518814144E1,2.535695334E1,-2.332101566E0,3.089999914E0,3.298999939E2,3.790092468E0,2.500000000E0
1.245056180E2,6.518816571E1,2.535691806E1,-2.064786904E0,3.000000000E0,3.257000122E2,3.790092468E0,2.500000000E0
1.255055215E2,6.518818945E1,2.535688516E1,-1.937241974E0,2.980000019E0,3.297999878E2,3.790092468E0,2.500000000E0
1.265059472E2,6.518821315E1,2.535685464E1,-1.718143768E0,2.970000029E0,3.320000000E2,3.790092468E0,2.500000000E0
1.275052937E2,6.518824069E1,2.535681709E1,-4.927623194E-1,3.009999990E0,3.272999878E2,3.790092468E0,2.500000000E0
1.285057341E2,6.518826744E1,2.535678460E1,-1.732021349E-1,3.059999943E0,3.310000000E2,3.790092468E0,2.500000000E0
1.295053141E2,6.518829088E1,2.535675045E1,-4.057037305E-1,3.019999981E0,3.293999939E2,3.790092468E0,2.500000000E0
1.305058682E2,6.518831478E1,2.535671409E1,-1.045146273E-1,3.059999943E0,3.271000061E2,3.790092468E0,2.500000000E0
1.315059612E2,6.518833893E1,2.535667831E1,2.830392293E-1,3.029999971E0,3.285000000E2,3.790092468E0,2.500000000E0
1.325052685E2,6.518836258E1,2.535664511E1,3.608404735E-1,3.019999981E0,3.306000061E2,3.790092468E0,2.500000000E0
1.335051298E2,6.518838824E1,2.535661195E1,1.021953756E0,3.019999981E0,3.331000061E2,3.790092468E0,2.500000000E0
1.345054401E2,6.518841524E1,2.535658478E1,1.540489595E0,3.109999895E0,3.372999878E2,3.790092468E0,2.500000000E0
1.355057934E2,6.518844298E1,2.535656032E1,2.073491011E0,3.069999933E0,3.372000122E2,3.790092468E0,2.500000000E0
1.365055976E2,6.518846872E1,2.535653479E1,2.752123024E0,2.990000010E0,3.363999939E2,3.790092468E0,2.500000000E0
1.375051813E2,6.518849356E1,2.535650423E1,2.570952109E0,3.059999943E0,3.325000000E2,3.790092468E0,2.500000000E0
1.385055752E2,6.518851884E1,2.535647399E1,2.873240527E0,3.029999971E0,3.317999878E2,3.790092468E0,2.500000000E0
1.395056557E2,6.518854483E1,2.535644098E1,2.879446451E0,3.069999933E0,3.301000061E2,3.790092468E0,2.500000000E0
1.405050007E2,6.518856972E1,2.535640964E1,3.125582465E0,3.019999981E0,3.287000122E2,3.790092468E0,2.500000000E0
1.415057939E2,6.518859555E1,2.535638202E1,3.205703226E0,2.990000010E0,3.320000000E2,3.790092468E0,2.500000000E0
1.425051917E2,6.518861694E1,2.535635711E1,3.199095742E0,2.630000114E0,3.317999878E2,3.790092468E0,2.500000000E0
1.435059411E2,6.518863037E1,2.535633953E1,3.046131363E0,2.049999952E0,3.305000000E2,3.790092468E0,2.500000000E0
1.445054532E2,6.518864366E1,2.535632317E1,2.936990561E0,1.700000048E0,3.317999878E2,3.790092468E0,2.500000000E0
