"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.426072167E1,1.513521433E0,9.736642838E-1,1.758481741E0
3.426576667E1,1.408512354E0,1.248340607E0,1.823685408E0
3.427081162E1,1.379847288E0,1.494118690E0,1.844727397E0
3.427585662E1,1.341436267E0,1.701483727E0,1.873977661E0
3.428094662E1,1.384032965E0,1.951834679E0,1.911042929E0
3.428603662E1,1.397319436E0,2.187782288E0,1.941287637E0
3.429112662E1,1.495647669E0,2.371167183E0,1.983569145E0
3.429622568E1,1.759993076E0,2.497307777E0,2.076071739E0
3.430113568E1,2.079249382E0,2.499358177E0,2.229119301E0
3.430614057E1,2.553362370E0,2.324929237E0,2.332531452E0
3.431118474E1,3.105165005E0,2.050772667E0,2.386878967E0
3.431622891E1,3.562508583E0,1.801284790E0,2.345050097E0
3.432128360E1,3.940034151E0,1.595542908E0,2.345937252E0
3.432632823E1,4.228631973E0,1.380803108E0,2.442597628E0
3.433137297E1,4.481195450E0,1.228772163E0,2.673414707E0
3.433641766E1,4.726831913E0,1.105798721E0,2.943140745E0
3.434150766E1,4.918129921E0,9.734525681E-1,3.305166245E0
3.434659766E1,5.031910419E0,8.602600098E-1,3.645472050E0
3.435168766E1,5.102370262E0,7.851886749E-1,3.888045311E0
3.435678682E1,4.981918812E0,8.533325195E-1,4.166748047E0
3.436169682E1,4.642982960E0,1.040494919E0,4.333081245E0
3.436670224E1,3.951555252E0,1.490105629E0,4.267019272E0
3.437174625E1,3.166555405E0,2.178029060E0,4.034530640E0
3.437679026E1,2.412212849E0,3.061095238E0,3.476707458E0
3.438188026E1,1.860393763E0,4.148756027E0,2.473526955E0
3.438697026E1,1.439003468E0,5.340395927E0,1.421955585E0
3.439206026E1,1.286234379E0,6.224663734E0,3.745028973E-1
3.439715974E1,1.205364108E0,6.720730782E0,-5.305392742E-1
3.440218958E1,1.028929472E0,6.943899155E0,-1.202823162E0
3.440724094E1,7.996153831E-1,6.803750992E0,-1.738572717E0
3.441229235E1,5.027266741E-1,6.320006371E0,-2.148084164E0
3.441734375E1,2.239894867E-1,5.483679771E0,-2.513434410E0
3.442237698E1,-3.187549114E-2,4.395699501E0,-2.638783216E0
3.442742745E1,-4.990851879E-2,3.319455147E0,-2.639022827E0
3.443247792E1,1.318191290E-1,2.441286087E0,-2.556343555E0
3.443752839E1,2.989239693E-1,1.784544945E0,-2.494634151E0
3.444243839E1,4.623992443E-1,1.444078445E0,-2.303127289E0
